"_id"," name"," slogan"," description"," category"," default_price"
"74","Kaley Tank Top","Id rerum culpa incidunt quibusdam.","Unde quia nesciunt ullam neque. Corrupti nihil id eos expedita architecto. Ut iusto est beatae sunt dolor. Sit quos quaerat sint minima.","Tank Top","258"
"75","Carli Shirt","At sapiente quia est id.","Assumenda nam quia et asperiores tenetur et ipsa vel ut. Amet amet nobis nesciunt quo. Suscipit nostrum laudantium consequatur officiis et commodi. Ut velit est molestiae aut corrupti quae. Deserunt veritatis minima aliquam optio vel qui aliquam assumenda sapiente. Id modi odit facere iste voluptatem et et.","Shirt","707"
"76","Haskell Shirt","Sed error eligendi voluptatem qui sequi aperiam a et.","Iste rerum nihil enim. Dolores est ea impedit qui eaque et numquam quae. Unde possimus eveniet architecto omnis facere dolores maiores magni incidunt. Molestias et et minus ex. Quasi fugiat velit qui deserunt aut nam cumque assumenda sit.","Shirt","927"
"77","Murphy Sweater","Aspernatur beatae dicta tempore aut aut ex.","Explicabo aut sapiente veritatis id dolorem commodi doloribus dolores. Cupiditate ullam praesentium aut et est est. Explicabo labore eum nostrum accusantium.","Sweater","11"
"78","Drew 1000 Jacket","Illo nemo optio quis.","Sit natus et accusantium eaque. Eum id sunt aut officiis magnam dolor ex nisi. Consectetur non facilis minus ullam delectus dolor doloremque aut. Vel laudantium fuga excepturi doloremque. Ducimus maxime veniam voluptatum et commodi assumenda voluptates aliquam.","Jacket","230"
"79","Carey Shoes","Repellat qui et.","Eum est eius omnis tenetur optio officiis. Harum exercitationem dolores tenetur nihil voluptas dolorem est. Et voluptates quod iure qui error commodi. Occaecati et delectus ut aspernatur.","Shoes","906"
"80","Angelita Shoes","Odit quis qui.","Et autem architecto. Non consequatur ut. Velit tempora ipsa qui optio iste suscipit reiciendis. Deserunt aliquam sit occaecati eveniet libero voluptas illum. Illo quibusdam repellendus aut odit qui iste ea non. Vero maxime est eum dolores tempora est.","Shoes","814"
"81","Donny Hoodie","Iste quis cum ducimus est ipsum doloremque.","Neque a rem culpa aut cupiditate quos dolorem ut delectus. Et molestiae assumenda aut. Quia ullam labore totam. Praesentium et et consectetur sed odit omnis fugit minus.","Hoodie","282"
"82","Jackie Pants","Asperiores similique temporibus laborum fugit.","Qui at ratione quasi illum dolor. Beatae ut aut totam quia soluta amet animi. Sequi unde sed corrupti sequi nam nesciunt nesciunt. Quibusdam reiciendis ut expedita totam hic soluta ut dolorem.","Pants","882"
"83","Ryan Skirt","Aut eos debitis aut similique et omnis repellendus soluta quo.","Consequuntur eum incidunt et eos amet. Nemo vel cupiditate repellendus ipsam et neque rerum. Laborum non quis dolorem labore impedit laborum maiores quis.","Skirt","672"
"84","Myra Pants","Facere quasi dignissimos.","Sint necessitatibus ducimus laborum. Voluptates est aliquam omnis molestias at. Atque et saepe. Quis ipsam nam velit sed reiciendis.","Pants","815"
"85","Lilyan Cap","Eaque libero et est maiores praesentium id consequatur sequi.","Dolores voluptatem vel vitae. In nulla laudantium minima sint dignissimos veniam. Officiis aut commodi libero corrupti nesciunt et vitae dolorum qui. Sunt magnam odit ut nostrum ratione tempora odit. Iste odio magni est quos voluptatum molestiae voluptatem porro.","Cap","358"
"86","Hillary Heels","Est sit optio rem voluptas.","Commodi vel occaecati quis explicabo. Cum aut nostrum qui numquam odit. Nesciunt dolor ipsum molestiae quia reiciendis velit maxime. Aut consequuntur repudiandae aut.","Heels","288"
"87","Zena Jacket","Voluptas sapiente nihil est placeat consequatur consequatur nihil ut.","Maxime sed omnis eum iste. Blanditiis at id reiciendis voluptatem iure animi et ut. Qui animi fugiat cumque porro facere.","Jacket","202"
"88","Estrella Jacket","Reiciendis voluptate rerum labore ea perspiciatis facere numquam.","Voluptas et veritatis. Repellat laboriosam autem magni beatae voluptatem qui corporis quis. Occaecati in et aspernatur consequatur maxime magni aut reiciendis. Dolorem harum aperiam laboriosam sunt. Fugit consequatur aut tenetur similique doloremque deserunt suscipit dignissimos tempora. Et non suscipit doloribus commodi eaque omnis.","Jacket","310"
"89","Dean Slacks","Ullam sed aliquid quas praesentium maxime cum fuga.","Magni nemo id velit distinctio quis nemo omnis temporibus expedita. Ratione incidunt mollitia ut. Cumque quo perferendis. Blanditiis necessitatibus qui. Dolores voluptatem delectus vero eum fugiat sed modi. Omnis quae laboriosam ad error.","Slacks","331"
"90","Leonor Shorts","Ipsam et consectetur hic.","Aut iste excepturi amet temporibus quis est. Sunt ut consequuntur. Corporis eum voluptas similique est sit et. Debitis velit nemo molestiae explicabo vero possimus eaque.","Shorts","337"
"91","Cleveland Socks","Nulla occaecati dolores nisi delectus iusto numquam consequatur enim.","Tenetur beatae saepe quis. Maxime voluptas assumenda nulla sequi quis. Quidem iusto et esse non ducimus. Ex quidem ut enim sed nihil.","Socks","879"
"92","Boyd Sunglasses","Et est minima.","Veritatis ut velit eos. Quasi est est. Sed tempore asperiores dicta sunt voluptatem perferendis et. Fugit laborum sequi harum dolor laboriosam voluptas eum doloremque sunt. Delectus similique similique.","Sunglasses","925"
"93","Daron Cap","Veniam consequatur quos maxime eaque impedit doloribus.","Omnis tenetur repudiandae aut ducimus neque molestiae quis ex. Dolorem iste iusto et rerum ullam ex reprehenderit tempora. Non cupiditate facere eius. Dignissimos culpa dolorem earum eligendi non et. Sed repellendus recusandae dolorem non eveniet maxime distinctio. Et dolore asperiores ipsa voluptatum ut minima rerum.","Cap","364"
"94","Brett Jacket","Voluptas et ea.","Non eum corrupti voluptas nesciunt facere totam eos quo architecto. Quod officia laborum officiis placeat iusto qui nisi ut. Voluptas ut sunt accusantium. Facilis sint aperiam voluptatem iste ea voluptatem aut adipisci.","Jacket","566"
"95","Dorothy Suit","Eligendi nulla aut animi voluptas.","Odit voluptatem facilis maxime modi non quas veritatis. Sint dolorem deleniti ipsum sequi veritatis aliquid culpa excepturi. Laudantium autem id tenetur aut.","Suit","330"
"96","Dedrick Dress","In error possimus ipsum aspernatur ut eveniet voluptate.","Eos tempora temporibus ipsam rerum et perferendis ipsa. Error hic velit. Quaerat sed adipisci alias debitis ut aliquid et possimus. Dicta quibusdam repellendus ipsum autem ratione perspiciatis.","Dress","128"
"97","Sandra Heels","Eveniet voluptatibus cum omnis.","Ex autem temporibus fugiat atque quia quo repellendus. Officiis commodi cupiditate est. Neque nihil voluptatem sed. Impedit nulla officiis voluptatem. Commodi sed tempora rerum delectus.","Heels","663"
"98","Hosea Socks","Eveniet magni distinctio.","Ipsa rerum dolore est sequi fugit eius accusantium est. Quibusdam aliquam quos reiciendis harum possimus. Harum nesciunt eos accusamus eveniet quisquam.","Socks","622"
"99","Melody Pants","Minus illum quod aut dolores aut.","Est ad consequuntur ratione quae rerum delectus et dolorem. Debitis ut explicabo. Dignissimos vitae aperiam nihil eveniet et vel aut.","Pants","672"
"100","Marilou 1300 Jacket","Ut ad et est.","Et minus adipisci voluptates. Ut suscipit magnam. Eligendi est magnam temporibus excepturi sunt in ad. Vitae omnis odio facilis adipisci. Ex autem quos.","Jacket","581"
"101","Kelvin Backpack","Temporibus commodi nobis autem enim sed.","Aut est suscipit provident commodi porro. Et quo iure in dicta architecto quis ad. Incidunt qui facilis.","Backpack","104"
"102","Julie Suit","Velit qui ipsa.","Exercitationem provident aliquid quibusdam officiis voluptate nobis quaerat quos aut. Atque qui natus aut facilis laborum vero harum tempore. Eum voluptates id dolorum.","Suit","286"
"103","Marques Coat","Quibusdam quo suscipit sint dolor fuga a.","In minima voluptas et dolorum earum deserunt amet esse suscipit. Aut maxime ipsum necessitatibus dolores est impedit non. Amet qui occaecati. Soluta aut deserunt esse ducimus ut fugiat est qui unde.","Coat","717"
"104","Gail Slacks","Aut consequatur illum nihil.","Suscipit quae iusto cupiditate. Iusto fuga numquam voluptas. Deserunt quos ut qui. Labore nisi sint inventore et sed natus quo vel exercitationem.","Slacks","355"
"105","Jevon Shorts","Est earum sunt rerum voluptates rem magnam est molestiae.","Dolores ut ipsa. Qui ut eius culpa inventore dicta sapiente ea quibusdam similique. Et molestiae voluptatem non quia accusantium necessitatibus hic. Facilis rerum inventore tempora earum vel quis doloremque et. Dolores voluptatem omnis corporis amet accusamus qui totam cupiditate.","Shorts","818"
"106","Carolyne 750 Romper","Cum minus voluptate exercitationem ut ut quis.","Eligendi quae sed minus ea dolorum. Repellat expedita exercitationem non eius nulla voluptates commodi doloribus et. Beatae reprehenderit sed recusandae voluptatem nam ipsum qui voluptas omnis. Molestiae vel ab cupiditate et animi voluptatem et. Et et maxime sint aliquam est quia beatae. Ea non vitae natus est modi.","Romper","737"
"107","Braxton Trousers","Illum at minima impedit enim adipisci error.","In dolores dolor at explicabo et harum. Dicta dolor hic quae non praesentium aut eos dolorum corporis. Ducimus dolor mollitia quis incidunt eaque hic labore dolore. Quibusdam et esse eveniet.","Trousers","505"
"108","Vaughn Pants","Et aut sunt.","Nam incidunt deleniti. Nobis facilis enim et. Quaerat vitae qui saepe esse. Eos quisquam consequatur. Quaerat nemo quod rerum quae unde nihil qui. Occaecati reprehenderit eveniet exercitationem magnam quos.","Pants","564"
"109","The Keegan Shirt","Sit odio adipisci est porro dolor aut doloremque laudantium ducimus.","Corporis distinctio alias iusto autem perferendis. Quia nihil est sed a sunt. Ipsam similique quia eum modi repellat ut unde. Omnis culpa occaecati minima consequuntur.","Shirt","334"
"110","The Carolyn Tank Top","Adipisci sed sit quo qui ratione optio.","Repudiandae libero veniam quia ipsum iste incidunt laboriosam consequatur accusamus. Facilis iusto nam porro qui natus consequatur aut velit aperiam. Itaque qui recusandae officia amet voluptatem labore doloribus sed. Aut recusandae nostrum consectetur facere sunt quam. Quidem cupiditate eaque odio quam deserunt est eos praesentium.","Tank Top","215"
"111","Gabe Socks","Quaerat sint accusamus voluptas ad dolores.","Qui voluptatem asperiores itaque quos sint ea autem. Optio laborum voluptate occaecati et consequuntur est modi. Omnis et iste rerum aut praesentium eveniet a ut provident. Quam molestiae molestias aliquam magnam dignissimos sed iste ut. Cupiditate qui officiis.","Socks","132"
"112","Ethan Socks","Molestias sunt enim rerum veniam aliquam perspiciatis.","Velit enim aut explicabo est. Sit aut ab quo ut quos dolore distinctio et consequatur. Sed rerum occaecati aut perferendis. Et aut fugit deserunt quos repudiandae aut corporis sit. Commodi perspiciatis sunt asperiores et molestiae distinctio officiis eos.","Socks","783"
"113","Jairo Sweater","Totam illo eum accusantium tempore cum qui eveniet.","Et facilis voluptas nobis similique ut et. Vero iure saepe. Architecto atque eaque est.","Sweater","504"
"114","Lelia 200 Tank Top","Aut et vero id reiciendis.","Sunt eos debitis aut ipsa. Sed et dolore magni minus earum. Dolorum rem autem est. In aut pariatur quia reiciendis qui nam tempore. Sapiente id dolor quia praesentium quia.","Tank Top","305"
"115","Henriette Jacket","Voluptates nisi voluptatem atque.","Explicabo quia autem minima est nam sed dolores. Rerum exercitationem et in saepe assumenda qui. Soluta omnis molestiae a aut excepturi possimus natus nostrum. Natus maiores dignissimos consequatur et deserunt facilis culpa.","Jacket","563"
"116","Shany Romper","Quia qui esse velit perspiciatis eveniet.","Exercitationem voluptas eius eius qui soluta necessitatibus culpa harum qui. Labore veritatis doloremque repudiandae exercitationem quo vitae non. Quibusdam eum placeat. Et doloremque voluptas cupiditate quasi.","Romper","137"
"117","Drake Backpack","Fugiat placeat rerum voluptatum et iure.","Dicta est voluptatem. Omnis aperiam minima enim quos corporis similique eius sunt. Asperiores alias architecto sunt et. Corporis debitis qui quos. Nemo quia sed dignissimos id consectetur voluptatibus cumque eligendi magni. Vitae sed ut natus.","Backpack","239"
"118","Myra Hoodie","Architecto repudiandae ratione inventore.","Iusto sunt est ipsam. Quo ea qui laudantium vero. Consequuntur harum assumenda.","Hoodie","441"
"119","Layla 650 Sweatpants","Nesciunt consectetur qui beatae omnis tenetur.","Autem ut et animi nisi commodi quo in sint numquam. Nam qui nihil aliquam eligendi. Ullam similique minima esse laboriosam dignissimos commodi. Qui possimus natus ullam necessitatibus. At omnis error nisi corporis qui. Voluptatem consequuntur voluptas libero et totam sapiente qui dolore.","Sweatpants","788"
"120","Ollie Shorts","In sed quis quas nobis alias magni.","Voluptas velit velit aut rerum facilis. Laboriosam id tempore nihil rerum aut eligendi ipsum ut ullam. Voluptatibus fuga corrupti ducimus ut earum quasi et.","Shorts","30"
"121","Antonietta Boots","Voluptas dolore corporis cupiditate omnis.","Quam nisi accusamus non magni ut culpa provident soluta accusamus. Vitae maiores libero quibusdam aut consequatur enim a. Sit dolores nostrum fugit rerum sint fugiat. Quidem autem expedita suscipit possimus rem voluptas voluptatem.","Boots","871"
"122","Savannah Dress","Inventore aliquid voluptas ut.","Et quos qui ipsa aspernatur nobis quam cumque cum aut. Natus et quia vel sit nihil natus culpa. Asperiores facilis et corporis sunt. Ad et esse aut.","Dress","60"
"123","Anabel Sunglasses","Magni sed et quam deserunt aut id consequatur.","Quo velit maiores harum necessitatibus assumenda aperiam eaque et dignissimos. Expedita et et et tempora magnam placeat quo. Aut corrupti asperiores. Quas reprehenderit eos nulla ab nam.","Sunglasses","365"
"124","Aida Socks","Itaque minus et.","Quaerat qui esse doloremque vitae saepe eligendi. Qui ratione rerum numquam nisi quo in. At nesciunt repudiandae placeat suscipit. Repudiandae qui ut. Ducimus dolores quam saepe et laboriosam quo. Atque commodi deleniti nemo ratione non impedit ducimus consequatur suscipit.","Socks","583"
"125","Clair Sweater","Fugit fugit impedit provident ab voluptatem qui odit maxime quo.","Qui sunt consequuntur non quos occaecati eos. Sapiente officiis qui qui. Velit laudantium aut voluptatem perspiciatis harum ad ut fuga.","Sweater","618"
"126","Jay Skirt","Eaque officiis molestiae quas sint.","Adipisci sed est qui et ex placeat et voluptatum voluptates. Numquam nostrum debitis amet. Aut et sequi. Nihil non quia corporis numquam itaque quidem quo optio.","Skirt","321"
"127","The Perry Romper","Quos exercitationem error qui dolorem et eum.","Eligendi sint iure quam mollitia nesciunt. Aut asperiores ipsum inventore minus debitis iusto. Eum minima odio. Optio perferendis libero maiores excepturi tenetur. Ut cumque accusantium vel. Sunt eos est explicabo magnam ut id.","Romper","833"
"128","Devante Sweatpants","Ut et voluptatum est quidem optio sunt error dolor repellendus.","Necessitatibus dolorem consequuntur deleniti voluptas et autem veniam. Similique ut dolores. Enim asperiores non dolore recusandae nulla error reiciendis libero dolor. Hic occaecati assumenda in ipsum quidem. Omnis omnis eum explicabo.","Sweatpants","537"
"129","Christa Boots","Dolore sapiente soluta velit voluptates.","Saepe voluptatem voluptatem atque libero. Eligendi ut possimus velit est est illo incidunt culpa. Esse libero nesciunt quia qui veniam reprehenderit pariatur quis. Id saepe repellendus ab fuga maiores eos. Quis laudantium quis praesentium.","Boots","659"
"130","Jammie Romper","Dolor molestiae qui omnis harum numquam dicta velit sed accusamus.","Praesentium exercitationem officiis deleniti eaque mollitia. Quia voluptas sunt quia eaque illum et aperiam. Quisquam consequatur quo et esse dolores. Laboriosam nobis id delectus aut tempora laboriosam quia dolor saepe. Odit quisquam eum iusto laborum illum.","Romper","997"
"131","Candice Slacks","Iste in possimus rem dolor non quidem.","Doloribus voluptas pariatur consectetur. Autem numquam et ab veritatis incidunt. Aut voluptas quis nemo autem ducimus non facere quia rerum. Facere eaque eum qui ipsum. Eveniet voluptas aspernatur itaque ut praesentium at inventore at. Odit mollitia voluptatem consectetur natus vero eveniet ut aut.","Slacks","663"
"132","Chanel Hat","Animi est sed commodi voluptates praesentium dolores possimus laborum.","Nulla fugit quos. Repellat asperiores aperiam. Quibusdam quaerat qui nostrum voluptatem minima et quia illo voluptas. Quae alias ut voluptatem rem ratione voluptatem. Vero in omnis error est eius optio ipsam sit. Omnis explicabo placeat culpa voluptatem fugiat.","Hat","824"
"133","Tyrique 300 Trousers","Reiciendis placeat velit aut placeat veritatis aut non.","Aspernatur quod corporis aperiam a ab doloribus consectetur et quo. Et fugit autem quam assumenda hic. Quas est itaque quia fugiat.","Trousers","251"
"134","Bradly Sweatpants","Dolores quaerat eum qui impedit eius enim tenetur.","Similique qui beatae dolorem. Dolor qui modi reiciendis voluptatem. Et sit non est ab expedita vel. Quos eum dolore sed ipsum qui. Molestiae natus dolores rem et.","Sweatpants","756"
"135","Elwyn Shoes","Debitis quia ipsum voluptatem non deserunt sed officiis.","Sint pariatur laborum laudantium. Saepe quidem animi consequatur minus impedit odio ut. Dolorem iusto quo totam velit.","Shoes","657"
"136","Waylon Skirt","Nemo sed omnis fugit.","Quis voluptas adipisci aperiam eum quia blanditiis aspernatur dolores. Magnam explicabo ea. Aut qui velit quo.","Skirt","486"
"137","Michel Suit","Placeat eos doloribus amet vitae.","Architecto quo et. Quibusdam nobis iusto consequuntur illum maiores ut et. Qui veniam alias dicta ut occaecati earum. Omnis in ut eveniet quos.","Suit","853"
"138","Verdie Skirt","Qui quidem voluptates vel repellat.","Consequuntur sequi placeat fugiat magnam quam et. Delectus et dolores nihil incidunt non. Et magni explicabo sapiente.","Skirt","492"
"139","Rosalind Backpack","Blanditiis delectus qui dolor ea soluta id.","Molestias quae voluptate sed rem minima repellendus. Voluptatem quidem ut perferendis et dignissimos. Commodi eos natus est repellendus neque. Distinctio dicta et non. Nam architecto pariatur dolor nisi sed.","Backpack","422"
"140","Justen Tank Top","Est est et iusto assumenda aut ullam.","Voluptas non quia qui dolore. Modi labore voluptatem aliquid ea repellat earum repellendus. Voluptas assumenda quos molestias ipsum. Nisi et rerum nesciunt.","Tank Top","344"
"141","Dayana Dress","Eaque debitis et quis modi.","Laudantium velit minus et enim consectetur fugiat amet harum quod. Earum ab ea delectus esse hic nihil voluptas eaque dolorum. Libero hic iusto. Voluptatum voluptatibus at. Dicta magnam molestiae est porro eos enim saepe aliquid animi. Voluptatem omnis ipsam enim.","Dress","379"
"142","Delmer Heels","Qui adipisci aut possimus.","Iste eos aut qui voluptatem rerum mollitia. Possimus quia accusamus qui odio cupiditate. Doloribus dolorum architecto.","Heels","193"
"143","Chanel Sweatpants","Libero rerum sit eos.","Deleniti corporis delectus et molestias harum eum non. Velit soluta ullam et vitae provident iure reprehenderit omnis quia. Distinctio sunt vel quod odio.","Sweatpants","559"
"144","Name Cap","Quasi eius rerum inventore omnis et.","Unde qui quia quos dolores voluptas ut. Et non voluptates facere. Nisi quasi aut sit ea reprehenderit facilis quaerat. Ea molestiae autem voluptatem eaque nam explicabo. Deleniti quia nihil enim optio aut ut voluptas fugiat corrupti. Explicabo reiciendis est.","Cap","285"
"145","Donny Backpack","Fugiat nemo inventore.","Distinctio quod eius voluptates accusamus. Non facere commodi dolorem asperiores cum culpa modi facilis enim. Quo sed et dolor voluptates eligendi et aut voluptas blanditiis. Praesentium totam veritatis soluta sed.","Backpack","681"
"146","The Brigitte Sunglasses","Consequatur est tempora enim ut qui ratione.","Molestiae ut voluptate et vel. Doloribus est quia sed illum sint consectetur quaerat qui atque. Aliquam est explicabo at. Harum libero voluptas qui sunt ullam et.","Sunglasses","158"
"147","Mozell Sweater","Quis eum et veniam molestiae.","Ut sint natus cum magni necessitatibus numquam rerum beatae. Minima omnis deserunt. Debitis cum ipsum necessitatibus rerum.","Sweater","388"
"148","Isabell Sweater","Reprehenderit enim aperiam.","Quas cum dolorem. Illo totam ipsum debitis ut quisquam corporis. Et accusamus rem consequatur dignissimos debitis iusto.","Sweater","923"
"149","Edgardo 1500 Boots","Doloribus a eius quia labore eum magni.","Non tenetur sit non quaerat. Saepe nihil suscipit tempore quis rerum. Sequi quod voluptatem hic sed itaque voluptatem aut mollitia. Sed minus reiciendis dolorum pariatur est odio dolorum minus occaecati. Nostrum architecto et et hic ratione.","Boots","536"
"150","Rollin Dress","Eum a pariatur.","Sunt enim et cum excepturi sint. Ipsam iste deleniti et aliquam nisi eligendi harum. Sed aliquid est aut sint voluptas quam nobis quaerat quasi.","Dress","18"
